"Câu hỏi","Lựa chọn A","Lựa chọn B","Lựa chọn C","Lựa chọn D","Đáp án đúng"
"Doanh nghiệp không có mục tiêu nào sau đây:","Cực đại hoá chi phí","Nâng cao chất lượng sản phẩm","Cực đại hoá doanh thu","Tăng thị phần","A"
"Hệ thống các giá trị của doanh nghiệp có thể được xây dựng dựa trên:","Các đáp án trên đều sai","Ý muốn của người lãnh đạo đương nhiệm để khẳng định dấu ấn cá nhân","Giữ nguyên các giá trị của doanh nghiệp đã được xây dựng trong quá khứ trong mọi hoàn cảnh","Kế thừa những giá trị đã hình thành, phát triển các giá trị mới mà thế hệ lãnh đạo đương nhiệm mong muốn xây dựng để doanh nghiệp ứng phó với tình hình mới","D"
"CEO của Tập đoàn Facebook, Mark Zuckerbug đã tuyên bố sẽ trao tặng 99% tài sản tại Facebook trong suốt cuộc đời mình cho hoạt động từ thiện. Điều này cho thấy khía khía cạnh nào trong văn hóa doanh nhân?","","","Đạo đức","","C"
"Văn hóa kinh doanh chịu ảnh hưởng của các nhân tố tác động","Tất cả các phương án A, B, C","Thể chế xã hội, sự khác biệt và giao lưu văn hóa, toàn cầu hóa","Các yêu tố nội bộ doanh nghiệp, khách hàng","Văn hóa xã hội, văn hóa dân tộc","A"
"Ưu điểm của mô hình văn hóa tháp Eiffel","Thực hiện công việc hiệu quả có ý nghĩa quyết định và mức độ hoàn thành sẽ là cơ sở đánh giá kết quả.","Có sức lôi cuốn các chuyên gia và có tinh thần kỷ luật chéo","Sân chơi lành mạnh để phát huy những ý tưởng và đáp lại một cách thông minh những sáng kiến mới.","Tất cả các đáp án trên","A"
"Ông Phạm Nhật Vượng, chủ tịch Tập đoàn Vingroup cho rằng mục tiêu cuối cùng là làm cái gì đó cho đời và trong năm 2020, ông đã được vinh danh trong danh sách thiện nguyện châu Á. Điều này cho thấy yếu tố nào trong văn hóa doanh nhân của ông Vượng?","Tố chất của doanh nhân","Phong cách doanh nhân","Không có phương án đúng","Đạo đức của doanh nhân","D"
"Phát biểu nào sau đây không phải là vai trò của đạo đức kinh doanh trong quản trị doanh nghiệp:","Đạo đức kinh doanh góp phần làm hài lòng khách hàng.","Đạo đức kinh doanh góp phần tạo ra lợi nhuận cho Doanh nghiệp","Đạo đức kinh doanh góp phần vào sự cam kết và tận tậm của nhân viên.","Đạo đức kinh doanh góp phần bảo tồn và phát triển các giá trị của Doanh nghiệp","B"
"Hành vi hai hay nhiều công ty hoạt động trong cùng một thị trường thoả thuận về việc bán hàng hoá ở cùng một mức giá đã định được gọi là:","Cố định giá","Dèm pha hàng hoá của đối thủ cạnh tranh.","Phân chi thị trường","Bán phá giá","A"
"Văn hóa doanh nghiệp được hiểu là: ""Một hệ thống hữu cơ các ..., các chuẩn mực, các quan niệm và hành vi do các thành viên trong doanh nghiệp đó sáng tạo và tích luỹ trong quá trình tương tác với môi trường bên ngoài và hội nhập bên trong tổ chức""","giá trị","chiến lược","mục tiêu","tầm nhìn","A"
"“Với tinh thần gần gũi với thiên nhiên, luôn nỗ lực hết mình để nuôi dưỡng thể chất và tâm hồn Việt bằng cách cung cấp những sản phẩm thực phẩm có nguồn gốc từ thiên nhiên – sạch, an toàn, tươi ngon và bổ dưỡng” là tuyên bố sứ mệnh của doanh nghiệp nào?","TH true milk","Nuti food","Vinamilk","Ba Vì Milk","A"
